depth,ED380_ADJUSTED
0.0,0.0671
5.0,0.034
10.0,0.01492
15.0,0.0076
20.0,0.00328
25.0,0.00163
30.0,0.00071
35.0,0.00049
40.0,0.00036
45.0,0.00023
50.0,0.00016
55.0,0.00014
60.0,8e-05
65.0,6e-05
70.0,5e-05
75.0,4e-05
80.0,3e-05
85.0,2e-05
90.0,2e-05
95.0,2e-05
100.0,2e-05
105.0,1e-05
110.0,1e-05
115.0,1e-05
120.0,1e-05
125.0,1e-05
130.0,1e-05
135.0,1e-05
140.0,0.0
145.0,0.0
150.0,0.0
155.0,0.0
160.0,0.0
165.0,0.0
170.0,0.0
175.0,0.0
180.0,0.0
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,0.0
205.0,1e-05
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
