depth,ED380_ADJUSTED
0.0,0.20815
5.0,0.12931
10.0,0.08061
15.0,0.05318
20.0,0.03184
25.0,0.02067
30.0,0.01229
35.0,0.0086
40.0,0.00593
45.0,0.00396
50.0,0.00242
55.0,0.002
60.0,0.00129
65.0,0.00097
70.0,0.0007
75.0,0.00046
80.0,0.00035
85.0,0.00022
90.0,0.00014
95.0,0.0001
100.0,8e-05
105.0,5e-05
110.0,3e-05
115.0,2e-05
120.0,2e-05
125.0,1e-05
130.0,1e-05
135.0,1e-05
140.0,1e-05
145.0,1e-05
150.0,1e-05
155.0,1e-05
160.0,0.0
165.0,0.0
170.0,0.0
175.0,0.0
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
