depth,ED380_ADJUSTED
0.0,0.11658
5.0,0.06862
10.0,0.03356
15.0,0.01919
20.0,0.01038
25.0,0.00582
30.0,0.00299
35.0,0.00236
40.0,0.00188
45.0,0.00147
50.0,0.00086
55.0,0.00084
60.0,0.00056
65.0,0.00039
70.0,0.00033
75.0,0.00021
80.0,0.00018
85.0,0.00011
90.0,7e-05
95.0,5e-05
100.0,5e-05
105.0,3e-05
110.0,2e-05
115.0,2e-05
120.0,1e-05
125.0,1e-05
130.0,1e-05
135.0,0.0
140.0,1e-05
145.0,0.0
150.0,0.0
155.0,0.0
160.0,0.0
165.0,0.0
170.0,0.0
175.0,0.0
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
