depth,ED380_ADJUSTED
0.0,0.6003
5.0,0.53847
10.0,0.4629
15.0,0.39694
20.0,0.33525
25.0,0.30194
30.0,0.24994
35.0,0.21766
40.0,0.19831
45.0,0.17276
50.0,0.14278
55.0,0.11467
60.0,0.08444
65.0,0.0617
70.0,0.04342
75.0,0.0305
80.0,0.02025
85.0,0.01412
90.0,0.00937
95.0,0.00641
100.0,0.00402
105.0,0.00261
110.0,0.00181
115.0,0.00115
120.0,0.0008
125.0,0.0005
130.0,0.00036
135.0,0.00025
140.0,0.00016
145.0,0.00011
150.0,8e-05
155.0,5e-05
160.0,4e-05
165.0,3e-05
170.0,2e-05
175.0,2e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
