depth,ED412_ADJUSTED
0.0,0.19344
5.0,0.13371
10.0,0.08856
15.0,0.05933
20.0,0.03976
25.0,0.02654
30.0,0.01734
35.0,0.01113
40.0,0.00823
45.0,0.00506
50.0,0.00424
55.0,0.00281
60.0,0.00218
65.0,0.00151
70.0,0.00133
75.0,0.00097
80.0,0.00077
85.0,0.00066
90.0,0.00052
95.0,0.00039
100.0,0.00034
105.0,0.00024
110.0,0.00021
115.0,0.00017
120.0,0.00017
125.0,0.00013
130.0,0.0001
135.0,8e-05
140.0,7e-05
145.0,6e-05
150.0,4e-05
155.0,3e-05
160.0,2e-05
165.0,2e-05
170.0,2e-05
175.0,2e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
