depth,ED412_ADJUSTED
0.0,0.3874
5.0,0.28931
10.0,0.18723
15.0,0.14329
20.0,0.1074
25.0,0.08473
30.0,0.05578
35.0,0.03971
40.0,0.02346
45.0,0.01511
50.0,0.0118
55.0,0.00631
60.0,0.00485
65.0,0.003
70.0,0.00163
75.0,0.00129
80.0,0.00067
85.0,0.00054
90.0,0.00037
95.0,0.00029
100.0,0.00021
105.0,0.00013
110.0,9e-05
115.0,7e-05
120.0,7e-05
125.0,6e-05
130.0,5e-05
135.0,3e-05
140.0,3e-05
145.0,2e-05
150.0,1e-05
155.0,1e-05
160.0,1e-05
165.0,1e-05
170.0,1e-05
175.0,0.0
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
