depth,ED412_ADJUSTED
0.0,0.66189
5.0,0.43915
10.0,0.24449
15.0,0.1387
20.0,0.07776
25.0,0.04543
30.0,0.02444
35.0,0.01372
40.0,0.00792
45.0,0.00448
50.0,0.0028
55.0,0.00163
60.0,0.0009
65.0,0.00056
70.0,0.0004
75.0,0.00027
80.0,0.00017
85.0,0.00012
90.0,9e-05
95.0,7e-05
100.0,6e-05
105.0,4e-05
110.0,4e-05
115.0,3e-05
120.0,2e-05
125.0,2e-05
130.0,2e-05
135.0,1e-05
140.0,1e-05
145.0,1e-05
150.0,1e-05
155.0,1e-05
160.0,1e-05
165.0,1e-05
170.0,0.0
175.0,0.0
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
