depth,ED412_ADJUSTED
0.0,0.32641
5.0,0.24433
10.0,0.16298
15.0,0.11356
20.0,0.07813
25.0,0.05393
30.0,0.03594
35.0,0.02329
40.0,0.01662
45.0,0.00998
50.0,0.00812
55.0,0.00523
60.0,0.00357
65.0,0.00246
70.0,0.00191
75.0,0.00137
80.0,0.00093
85.0,0.00071
90.0,0.00056
95.0,0.0004
100.0,0.00033
105.0,0.00022
110.0,0.00017
115.0,0.00013
120.0,0.00011
125.0,8e-05
130.0,6e-05
135.0,4e-05
140.0,3e-05
145.0,3e-05
150.0,2e-05
155.0,2e-05
160.0,1e-05
165.0,1e-05
170.0,1e-05
175.0,1e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
