depth,ED412_ADJUSTED
0.0,0.14857
5.0,0.06906
10.0,0.02564
15.0,0.011
20.0,0.00484
25.0,0.00207
30.0,0.00089
35.0,0.00044
40.0,0.00021
45.0,0.00011
50.0,6e-05
55.0,5e-05
60.0,4e-05
65.0,4e-05
70.0,2e-05
75.0,2e-05
80.0,1e-05
85.0,1e-05
90.0,1e-05
95.0,1e-05
100.0,0.0
105.0,0.0
110.0,0.0
115.0,0.0
120.0,0.0
125.0,0.0
130.0,0.0
135.0,0.0
140.0,0.0
145.0,0.0
150.0,0.0
155.0,0.0
160.0,0.0
165.0,0.0
170.0,0.0
175.0,0.0
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
