depth,ED412_ADJUSTED
0.0,0.20325
5.0,0.13915
10.0,0.08346
15.0,0.05774
20.0,0.04012
25.0,0.02595
30.0,0.01973
35.0,0.01432
40.0,0.00852
45.0,0.00414
50.0,0.00325
55.0,0.00195
60.0,0.00105
65.0,0.0008
70.0,0.00046
75.0,0.00035
80.0,0.00022
85.0,0.00012
90.0,0.00013
95.0,7e-05
100.0,6e-05
105.0,4e-05
110.0,3e-05
115.0,2e-05
120.0,1e-05
125.0,1e-05
130.0,0.0
135.0,0.0
140.0,0.0
145.0,0.0
150.0,0.0
155.0,0.0
160.0,0.0
165.0,0.0
170.0,0.0
175.0,0.0
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
