depth,ED412_ADJUSTED
0.0,0.50518
5.0,0.37833
10.0,0.26677
15.0,0.18969
20.0,0.1349
25.0,0.09517
30.0,0.06323
35.0,0.04491
40.0,0.03213
45.0,0.02159
50.0,0.0161
55.0,0.01132
60.0,0.00774
65.0,0.00554
70.0,0.00393
75.0,0.00259
80.0,0.0018
85.0,0.00131
90.0,0.00092
95.0,0.00067
100.0,0.00045
105.0,0.00033
110.0,0.00024
115.0,0.0002
120.0,0.00014
125.0,0.00011
130.0,8e-05
135.0,6e-05
140.0,5e-05
145.0,4e-05
150.0,3e-05
155.0,2e-05
160.0,2e-05
165.0,2e-05
170.0,1e-05
175.0,1e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
