depth,ED490_ADJUSTED
0.0,0.08205
5.0,0.07406
10.0,0.04591
15.0,0.03116
20.0,0.02464
25.0,0.01716
30.0,0.01278
35.0,0.00988
40.0,0.00716
45.0,0.00554
50.0,0.00459
55.0,0.0031
60.0,0.00234
65.0,0.00191
70.0,0.00158
75.0,0.00112
80.0,0.00099
85.0,0.00061
90.0,0.00061
95.0,0.00042
100.0,0.00043
105.0,0.00027
110.0,0.00021
115.0,0.00018
120.0,0.00014
125.0,0.00013
130.0,0.0001
135.0,9e-05
140.0,0.0001
145.0,4e-05
150.0,4e-05
155.0,3e-05
160.0,2e-05
165.0,2e-05
170.0,2e-05
175.0,2e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,0.0
220.0,1e-05
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
