depth,ED490_ADJUSTED
0.0,0.42857
5.0,0.35422
10.0,0.27359
15.0,0.2239
20.0,0.18838
25.0,0.14065
30.0,0.1166
35.0,0.0944
40.0,0.06915
45.0,0.05781
50.0,0.04362
55.0,0.03092
60.0,0.0272
65.0,0.02246
70.0,0.01815
75.0,0.01404
80.0,0.01204
85.0,0.00827
90.0,0.00787
95.0,0.00598
100.0,0.00477
105.0,0.00427
110.0,0.00389
115.0,0.00298
120.0,0.00235
125.0,0.00211
130.0,0.00171
135.0,0.00133
140.0,0.00122
145.0,0.00094
150.0,0.00083
155.0,0.00063
160.0,0.00056
165.0,0.00051
170.0,0.00043
175.0,0.00039
180.0,0.00031
185.0,0.00029
190.0,0.00024
195.0,0.00021
200.0,0.0002
205.0,0.00019
210.0,0.00016
215.0,0.00014
220.0,0.00012
225.0,0.0001
230.0,9e-05
235.0,9e-05
240.0,8e-05
245.0,7e-05
250.0,6e-05
