depth,ED490_ADJUSTED
0.0,0.37123
5.0,0.22654
10.0,0.12524
15.0,0.07168
20.0,0.04206
25.0,0.02291
30.0,0.01361
35.0,0.00856
40.0,0.00519
45.0,0.00367
50.0,0.00249
55.0,0.00207
60.0,0.00144
65.0,0.00123
70.0,0.00092
75.0,0.00077
80.0,0.00066
85.0,0.00055
90.0,0.00043
95.0,0.00037
100.0,0.00032
105.0,0.00024
110.0,0.0002
115.0,0.00019
120.0,0.00014
125.0,0.00014
130.0,0.00011
135.0,0.0001
140.0,8e-05
145.0,7e-05
150.0,5e-05
155.0,5e-05
160.0,5e-05
165.0,4e-05
170.0,3e-05
175.0,3e-05
180.0,3e-05
185.0,2e-05
190.0,2e-05
195.0,2e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
