depth,ED490_ADJUSTED
0.0,0.0833
5.0,0.06396
10.0,0.04517
15.0,0.03257
20.0,0.02518
25.0,0.01719
30.0,0.01308
35.0,0.00906
40.0,0.0063
45.0,0.0046
50.0,0.0036
55.0,0.00254
60.0,0.00194
65.0,0.00155
70.0,0.00126
75.0,0.00084
80.0,0.00075
85.0,0.00057
90.0,0.00047
95.0,0.00037
100.0,0.00027
105.0,0.00022
110.0,0.00017
115.0,0.00015
120.0,0.00011
125.0,9e-05
130.0,7e-05
135.0,6e-05
140.0,5e-05
145.0,4e-05
150.0,3e-05
155.0,2e-05
160.0,2e-05
165.0,2e-05
170.0,1e-05
175.0,1e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
