depth,ED490_ADJUSTED
0.0,0.28774
5.0,0.20669
10.0,0.14357
15.0,0.10028
20.0,0.07314
25.0,0.05032
30.0,0.03624
35.0,0.02541
40.0,0.01917
45.0,0.01405
50.0,0.01136
55.0,0.00832
60.0,0.006
65.0,0.00462
70.0,0.00334
75.0,0.00254
80.0,0.00213
85.0,0.0014
90.0,0.00113
95.0,0.00096
100.0,0.0007
105.0,0.00052
110.0,0.00045
115.0,0.00039
120.0,0.00031
125.0,0.00026
130.0,0.00019
135.0,0.00017
140.0,0.00014
145.0,0.00011
150.0,9e-05
155.0,8e-05
160.0,6e-05
165.0,6e-05
170.0,5e-05
175.0,4e-05
180.0,3e-05
185.0,3e-05
190.0,2e-05
195.0,2e-05
200.0,2e-05
205.0,2e-05
210.0,2e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
