depth,ED490_ADJUSTED
0.0,0.08207
5.0,0.06179
10.0,0.04427
15.0,0.03143
20.0,0.02395
25.0,0.01691
30.0,0.01236
35.0,0.00812
40.0,0.00579
45.0,0.00447
50.0,0.00318
55.0,0.00218
60.0,0.00171
65.0,0.00135
70.0,0.00098
75.0,0.00077
80.0,0.00061
85.0,0.00043
90.0,0.00035
95.0,0.0003
100.0,0.00021
105.0,0.00016
110.0,0.00012
115.0,0.00011
120.0,8e-05
125.0,6e-05
130.0,5e-05
135.0,4e-05
140.0,3e-05
145.0,3e-05
150.0,2e-05
155.0,2e-05
160.0,1e-05
165.0,1e-05
170.0,1e-05
175.0,1e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
