depth,ED490_ADJUSTED
0.0,0.37064
5.0,0.25821
10.0,0.13418
15.0,0.082
20.0,0.05125
25.0,0.02592
30.0,0.01667
35.0,0.00986
40.0,0.00689
45.0,0.00511
50.0,0.00328
55.0,0.00185
60.0,0.00122
65.0,0.00099
70.0,0.00069
75.0,0.00049
80.0,0.00043
85.0,0.00027
90.0,0.00017
95.0,0.00013
100.0,0.00012
105.0,8e-05
110.0,7e-05
115.0,5e-05
120.0,4e-05
125.0,4e-05
130.0,3e-05
135.0,2e-05
140.0,2e-05
145.0,2e-05
150.0,2e-05
155.0,1e-05
160.0,1e-05
165.0,1e-05
170.0,1e-05
175.0,1e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,0.0
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
