depth,ED490_ADJUSTED
0.0,0.15652
5.0,0.11537
10.0,0.08544
15.0,0.063
20.0,0.04575
25.0,0.03282
30.0,0.02493
35.0,0.01785
40.0,0.01456
45.0,0.01095
50.0,0.00903
55.0,0.007
60.0,0.00553
65.0,0.00422
70.0,0.00326
75.0,0.00245
80.0,0.00203
85.0,0.00146
90.0,0.00114
95.0,0.001
100.0,0.00077
105.0,0.00059
110.0,0.00048
115.0,0.00041
120.0,0.00033
125.0,0.00028
130.0,0.00022
135.0,0.0002
140.0,0.00015
145.0,0.00013
150.0,0.0001
155.0,9e-05
160.0,7e-05
165.0,6e-05
170.0,5e-05
175.0,4e-05
180.0,3e-05
185.0,3e-05
190.0,3e-05
195.0,2e-05
200.0,2e-05
205.0,2e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
