depth,ED490_ADJUSTED
0.0,0.13538
5.0,0.09475
10.0,0.04087
15.0,0.01888
20.0,0.01036
25.0,0.00537
30.0,0.00252
35.0,0.00151
40.0,0.00099
45.0,0.00073
50.0,0.00048
55.0,0.00027
60.0,0.00023
65.0,0.00014
70.0,0.00015
75.0,0.00012
80.0,8e-05
85.0,7e-05
90.0,4e-05
95.0,3e-05
100.0,4e-05
105.0,2e-05
110.0,2e-05
115.0,2e-05
120.0,1e-05
125.0,2e-05
130.0,1e-05
135.0,1e-05
140.0,1e-05
145.0,1e-05
150.0,1e-05
155.0,1e-05
160.0,0.0
165.0,0.0
170.0,0.0
175.0,0.0
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
