depth,ED490_ADJUSTED
0.0,0.14991
5.0,0.12927
10.0,0.07662
15.0,0.05672
20.0,0.03725
25.0,0.02522
30.0,0.01912
35.0,0.01347
40.0,0.01184
45.0,0.0112
50.0,0.00844
55.0,0.00411
60.0,0.00266
65.0,0.00209
70.0,0.00166
75.0,0.00114
80.0,0.00108
85.0,0.00068
90.0,0.00041
95.0,0.00034
100.0,0.0003
105.0,0.00019
110.0,0.00013
115.0,0.00012
120.0,8e-05
125.0,8e-05
130.0,6e-05
135.0,4e-05
140.0,4e-05
145.0,3e-05
150.0,2e-05
155.0,2e-05
160.0,2e-05
165.0,2e-05
170.0,1e-05
175.0,1e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,0.0
230.0,1e-05
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
