depth,ED490_ADJUSTED
0.0,0.53824
5.0,0.391
10.0,0.24623
15.0,0.15905
20.0,0.10072
25.0,0.06411
30.0,0.04266
35.0,0.02863
40.0,0.0174
45.0,0.01268
50.0,0.00906
55.0,0.0059
60.0,0.00423
65.0,0.0031
70.0,0.0021
75.0,0.00157
80.0,0.00123
85.0,0.00083
90.0,0.00071
95.0,0.00058
100.0,0.00041
105.0,0.00033
110.0,0.00029
115.0,0.00024
120.0,0.00019
125.0,0.00016
130.0,0.00013
135.0,0.00012
140.0,0.0001
145.0,8e-05
150.0,7e-05
155.0,6e-05
160.0,5e-05
165.0,5e-05
170.0,4e-05
175.0,4e-05
180.0,3e-05
185.0,3e-05
190.0,2e-05
195.0,2e-05
200.0,2e-05
205.0,2e-05
210.0,2e-05
215.0,2e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
