depth,ED490_ADJUSTED
0.0,0.32692
5.0,0.21692
10.0,0.09722
15.0,0.04156
20.0,0.02277
25.0,0.01124
30.0,0.00498
35.0,0.00242
40.0,0.00148
45.0,0.00126
50.0,0.00076
55.0,0.00046
60.0,0.0003
65.0,0.0002
70.0,0.00022
75.0,0.00012
80.0,0.0001
85.0,8e-05
90.0,5e-05
95.0,4e-05
100.0,4e-05
105.0,3e-05
110.0,2e-05
115.0,2e-05
120.0,2e-05
125.0,2e-05
130.0,1e-05
135.0,1e-05
140.0,1e-05
145.0,1e-05
150.0,1e-05
155.0,1e-05
160.0,1e-05
165.0,1e-05
170.0,1e-05
175.0,1e-05
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
