depth,ED490_ADJUSTED
0.0,0.15113
5.0,0.11109
10.0,0.04672
15.0,0.02129
20.0,0.01219
25.0,0.00626
30.0,0.00278
35.0,0.0018
40.0,0.00111
45.0,0.00081
50.0,0.00052
55.0,0.00029
60.0,0.00025
65.0,0.00016
70.0,0.00014
75.0,0.00012
80.0,7e-05
85.0,7e-05
90.0,4e-05
95.0,4e-05
100.0,4e-05
105.0,2e-05
110.0,2e-05
115.0,2e-05
120.0,2e-05
125.0,2e-05
130.0,1e-05
135.0,1e-05
140.0,1e-05
145.0,1e-05
150.0,1e-05
155.0,1e-05
160.0,1e-05
165.0,1e-05
170.0,0.0
175.0,1e-05
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
