depth,ED490_ADJUSTED
0.0,0.22765
5.0,0.14211
10.0,0.08555
15.0,0.05412
20.0,0.03499
25.0,0.02131
30.0,0.01353
35.0,0.00923
40.0,0.00606
45.0,0.00432
50.0,0.0029
55.0,0.00213
60.0,0.00152
65.0,0.0012
70.0,0.00094
75.0,0.00071
80.0,0.00056
85.0,0.00047
90.0,0.00037
95.0,0.00031
100.0,0.00025
105.0,0.00019
110.0,0.00015
115.0,0.00014
120.0,0.0001
125.0,9e-05
130.0,7e-05
135.0,6e-05
140.0,5e-05
145.0,4e-05
150.0,3e-05
155.0,3e-05
160.0,2e-05
165.0,2e-05
170.0,2e-05
175.0,1e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
