depth,ED490_ADJUSTED
0.0,0.15288
5.0,0.12668
10.0,0.07558
15.0,0.04968
20.0,0.03192
25.0,0.02309
30.0,0.01623
35.0,0.01229
40.0,0.00989
45.0,0.00891
50.0,0.00718
55.0,0.00356
60.0,0.00272
65.0,0.00194
70.0,0.00178
75.0,0.00127
80.0,0.00109
85.0,0.00069
90.0,0.00042
95.0,0.00033
100.0,0.00033
105.0,0.00021
110.0,0.00015
115.0,0.00013
120.0,0.0001
125.0,0.0001
130.0,8e-05
135.0,5e-05
140.0,5e-05
145.0,4e-05
150.0,4e-05
155.0,3e-05
160.0,2e-05
165.0,3e-05
170.0,2e-05
175.0,2e-05
180.0,1e-05
185.0,2e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,0.0
240.0,1e-05
245.0,1e-05
250.0,1e-05
