depth,ED490_ADJUSTED
0.0,0.19269
5.0,0.13626
10.0,0.08968
15.0,0.0607
20.0,0.04198
25.0,0.02894
30.0,0.01927
35.0,0.01309
40.0,0.00933
45.0,0.0076
50.0,0.00551
55.0,0.0042
60.0,0.00343
65.0,0.00276
70.0,0.00214
75.0,0.00181
80.0,0.0015
85.0,0.00114
90.0,0.00093
95.0,0.00077
100.0,0.00065
105.0,0.00052
110.0,0.00043
115.0,0.0004
120.0,0.00031
125.0,0.00027
130.0,0.00023
135.0,0.00019
140.0,0.00017
145.0,0.00013
150.0,0.00012
155.0,0.0001
160.0,9e-05
165.0,7e-05
170.0,6e-05
175.0,5e-05
180.0,5e-05
185.0,4e-05
190.0,3e-05
195.0,3e-05
200.0,3e-05
205.0,2e-05
210.0,2e-05
215.0,2e-05
220.0,2e-05
225.0,2e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
