depth,ED490_ADJUSTED
0.0,0.20426
5.0,0.155
10.0,0.08906
15.0,0.06061
20.0,0.04071
25.0,0.02574
30.0,0.0172
35.0,0.01182
40.0,0.00941
45.0,0.00795
50.0,0.00564
55.0,0.00343
60.0,0.00259
65.0,0.0023
70.0,0.00181
75.0,0.00133
80.0,0.00117
85.0,0.00087
90.0,0.00056
95.0,0.00051
100.0,0.00046
105.0,0.00033
110.0,0.00027
115.0,0.00022
120.0,0.00017
125.0,0.00018
130.0,0.00013
135.0,0.0001
140.0,0.0001
145.0,8e-05
150.0,7e-05
155.0,6e-05
160.0,5e-05
165.0,5e-05
170.0,4e-05
175.0,5e-05
180.0,3e-05
185.0,3e-05
190.0,2e-05
195.0,2e-05
200.0,2e-05
205.0,2e-05
210.0,2e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
