depth,ED490_ADJUSTED
0.0,0.20294
5.0,0.14961
10.0,0.08497
15.0,0.0555
20.0,0.03541
25.0,0.02195
30.0,0.01418
35.0,0.00919
40.0,0.00725
45.0,0.006
50.0,0.00395
55.0,0.00236
60.0,0.00173
65.0,0.00153
70.0,0.00116
75.0,0.00088
80.0,0.00075
85.0,0.00054
90.0,0.00034
95.0,0.0003
100.0,0.00027
105.0,0.0002
110.0,0.00016
115.0,0.00013
120.0,0.0001
125.0,0.00011
130.0,8e-05
135.0,6e-05
140.0,6e-05
145.0,5e-05
150.0,4e-05
155.0,3e-05
160.0,3e-05
165.0,3e-05
170.0,2e-05
175.0,3e-05
180.0,2e-05
185.0,2e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
