depth,ED490_ADJUSTED
0.0,0.29127
5.0,0.23468
10.0,0.1386
15.0,0.09992
20.0,0.07072
25.0,0.04506
30.0,0.0306
35.0,0.02168
40.0,0.01557
45.0,0.01286
50.0,0.00945
55.0,0.00568
60.0,0.0041
65.0,0.0033
70.0,0.00239
75.0,0.00177
80.0,0.00164
85.0,0.00103
90.0,0.00074
95.0,0.0006
100.0,0.00049
105.0,0.00037
110.0,0.00028
115.0,0.00023
120.0,0.00018
125.0,0.00016
130.0,0.00013
135.0,0.0001
140.0,9e-05
145.0,7e-05
150.0,6e-05
155.0,5e-05
160.0,4e-05
165.0,4e-05
170.0,3e-05
175.0,3e-05
180.0,2e-05
185.0,2e-05
190.0,2e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
