depth,ED490_ADJUSTED
0.0,0.30046
5.0,0.24161
10.0,0.14133
15.0,0.10247
20.0,0.07212
25.0,0.04568
30.0,0.03119
35.0,0.02171
40.0,0.01544
45.0,0.01279
50.0,0.00927
55.0,0.00556
60.0,0.00404
65.0,0.00326
70.0,0.00233
75.0,0.00172
80.0,0.00162
85.0,0.00101
90.0,0.00073
95.0,0.0006
100.0,0.00048
105.0,0.00036
110.0,0.00027
115.0,0.00023
120.0,0.00018
125.0,0.00016
130.0,0.00013
135.0,0.0001
140.0,9e-05
145.0,7e-05
150.0,6e-05
155.0,5e-05
160.0,4e-05
165.0,4e-05
170.0,3e-05
175.0,3e-05
180.0,2e-05
185.0,2e-05
190.0,2e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
