depth,ED490_ADJUSTED
0.0,0.30578
5.0,0.23391
10.0,0.13796
15.0,0.09585
20.0,0.06666
25.0,0.04171
30.0,0.02793
35.0,0.01994
40.0,0.01293
45.0,0.01025
50.0,0.00707
55.0,0.00432
60.0,0.00324
65.0,0.00251
70.0,0.0018
75.0,0.00133
80.0,0.00119
85.0,0.00074
90.0,0.00057
95.0,0.00044
100.0,0.00037
105.0,0.00028
110.0,0.00022
115.0,0.00018
120.0,0.00014
125.0,0.00013
130.0,0.0001
135.0,8e-05
140.0,7e-05
145.0,5e-05
150.0,5e-05
155.0,4e-05
160.0,3e-05
165.0,3e-05
170.0,3e-05
175.0,3e-05
180.0,2e-05
185.0,2e-05
190.0,2e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
