depth,ED490_ADJUSTED
0.0,0.32279
5.0,0.25615
10.0,0.14211
15.0,0.09708
20.0,0.06583
25.0,0.03819
30.0,0.02589
35.0,0.01742
40.0,0.01311
45.0,0.01079
50.0,0.00767
55.0,0.00442
60.0,0.00304
65.0,0.00252
70.0,0.00181
75.0,0.00127
80.0,0.00127
85.0,0.00073
90.0,0.00049
95.0,0.00043
100.0,0.00035
105.0,0.00025
110.0,0.00018
115.0,0.00015
120.0,0.00012
125.0,0.00012
130.0,9e-05
135.0,6e-05
140.0,6e-05
145.0,5e-05
150.0,4e-05
155.0,3e-05
160.0,3e-05
165.0,3e-05
170.0,2e-05
175.0,2e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
