depth,ED490_ADJUSTED
0.0,0.29235
5.0,0.22868
10.0,0.12842
15.0,0.08958
20.0,0.06145
25.0,0.03685
30.0,0.02485
35.0,0.01701
40.0,0.0124
45.0,0.01022
50.0,0.0074
55.0,0.00431
60.0,0.00311
65.0,0.00262
70.0,0.00187
75.0,0.00138
80.0,0.00134
85.0,0.00079
90.0,0.00055
95.0,0.00045
100.0,0.00037
105.0,0.00028
110.0,0.00021
115.0,0.00018
120.0,0.00014
125.0,0.00014
130.0,0.00011
135.0,8e-05
140.0,7e-05
145.0,6e-05
150.0,5e-05
155.0,4e-05
160.0,3e-05
165.0,3e-05
170.0,3e-05
175.0,3e-05
180.0,2e-05
185.0,2e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
