depth,ED490_ADJUSTED
0.0,0.43931
5.0,0.30899
10.0,0.22282
15.0,0.15628
20.0,0.11805
25.0,0.08594
30.0,0.06123
35.0,0.04071
40.0,0.03223
45.0,0.02319
50.0,0.01939
55.0,0.01518
60.0,0.01075
65.0,0.00908
70.0,0.00631
75.0,0.00555
80.0,0.00467
85.0,0.00332
90.0,0.00275
95.0,0.00238
100.0,0.00178
105.0,0.00147
110.0,0.00126
115.0,0.0012
120.0,0.00093
125.0,0.00084
130.0,0.00062
135.0,0.00059
140.0,0.00052
145.0,0.00043
150.0,0.00035
155.0,0.00033
160.0,0.00026
165.0,0.00025
170.0,0.00022
175.0,0.00019
180.0,0.00018
185.0,0.00013
190.0,0.00012
195.0,0.00011
200.0,0.00011
205.0,9e-05
210.0,8e-05
215.0,7e-05
220.0,7e-05
225.0,5e-05
230.0,5e-05
235.0,5e-05
240.0,4e-05
245.0,4e-05
250.0,3e-05
