depth,PAR_ADJUSTED
0.0,948.6558
5.0,500.3704
10.0,333.6698
15.0,216.7168
20.0,151.8287
25.0,103.9166
30.0,74.6992
35.0,49.0216
40.0,36.9488
45.0,26.3046
50.0,19.0241
55.0,12.688
60.0,9.4835
65.0,6.3832
70.0,4.9109
75.0,3.3683
80.0,2.553
85.0,1.9953
90.0,1.318
95.0,1.0044
100.0,0.7777
105.0,0.5672
110.0,0.4662
115.0,0.3872
120.0,0.3099
125.0,0.2635
130.0,0.2102
135.0,0.1619
140.0,0.1496
145.0,0.1201
150.0,0.1102
155.0,0.0899
160.0,0.0802
165.0,0.068
170.0,0.0549
175.0,0.041
180.0,0.0381
185.0,0.0335
190.0,0.0299
195.0,0.0266
200.0,0.02
205.0,0.0161
210.0,0.0162
215.0,0.0127
220.0,0.0127
225.0,0.0111
230.0,0.01
235.0,0.0086
240.0,0.0085
245.0,0.0077
250.0,0.0069
