depth,PAR_ADJUSTED
0.0,123.2485
5.0,75.2692
10.0,48.7916
15.0,32.6109
20.0,19.0819
25.0,16.1967
30.0,8.8136
35.0,8.4905
40.0,5.9803
45.0,3.8584
50.0,2.6288
55.0,1.857
60.0,1.3775
65.0,0.876
70.0,0.7482
75.0,0.458
80.0,0.3103
85.0,0.2095
90.0,0.1397
95.0,0.1322
100.0,0.0903
105.0,0.0699
110.0,0.0495
115.0,0.0359
120.0,0.0289
125.0,0.029
130.0,0.02
135.0,0.0179
140.0,0.0126
145.0,0.0118
150.0,0.0103
155.0,0.0081
160.0,0.0089
165.0,0.0079
170.0,0.0072
175.0,0.0059
180.0,0.0048
185.0,0.006
190.0,0.0062
195.0,0.0056
200.0,0.0067
205.0,0.0061
210.0,0.0061
215.0,0.0043
220.0,0.005
225.0,0.0041
230.0,0.0033
235.0,0.0032
240.0,0.0028
245.0,0.0024
250.0,0.0017
