depth,PAR_ADJUSTED
0.0,222.545
5.0,129.7999
10.0,85.8309
15.0,53.7228
20.0,36.4686
25.0,24.0996
30.0,16.7815
35.0,11.6725
40.0,7.5353
45.0,5.427
50.0,3.6648
55.0,2.4262
60.0,1.6934
65.0,1.3715
70.0,0.9755
75.0,0.8552
80.0,0.5483
85.0,0.4602
90.0,0.3494
95.0,0.2827
100.0,0.2363
105.0,0.1858
110.0,0.1451
115.0,0.133
120.0,0.1007
125.0,0.0933
130.0,0.0848
135.0,0.0798
140.0,0.0672
145.0,0.0596
150.0,0.0523
155.0,0.0476
160.0,0.0452
165.0,0.0344
170.0,0.0328
175.0,0.0365
180.0,0.0321
185.0,0.0338
190.0,0.0295
195.0,0.0243
200.0,0.0217
205.0,0.0175
210.0,0.0177
215.0,0.0155
220.0,0.0151
225.0,0.0146
230.0,0.0137
235.0,0.0131
240.0,0.0136
245.0,0.0105
250.0,0.0088
