depth,PAR_ADJUSTED
0.0,122.8863
5.0,65.9457
10.0,38.0058
15.0,23.1627
20.0,12.9956
25.0,8.9745
30.0,5.8152
35.0,3.9577
40.0,2.231
45.0,1.5058
50.0,0.9681
55.0,0.6521
60.0,0.4775
65.0,0.2945
70.0,0.2318
75.0,0.1616
80.0,0.1023
85.0,0.0784
90.0,0.0554
95.0,0.0447
100.0,0.0327
105.0,0.0231
110.0,0.0163
115.0,0.0135
120.0,0.0105
125.0,0.0096
130.0,0.0074
135.0,0.0066
140.0,0.0053
145.0,0.0044
150.0,0.004
155.0,0.0031
160.0,0.0036
165.0,0.0028
170.0,0.0029
175.0,0.0028
180.0,0.0023
185.0,0.0029
190.0,0.0028
195.0,0.0028
200.0,0.003
205.0,0.0034
210.0,0.0031
215.0,0.0026
220.0,0.003
225.0,0.003
230.0,0.0028
235.0,0.0032
240.0,0.0028
245.0,0.0027
250.0,0.0024
