depth,PAR_ADJUSTED
0.0,120.0232
5.0,65.321
10.0,38.2309
15.0,23.4766
20.0,13.3913
25.0,9.4254
30.0,6.1777
35.0,4.2291
40.0,2.4475
45.0,1.6761
50.0,1.0748
55.0,0.7358
60.0,0.5418
65.0,0.33
70.0,0.2703
75.0,0.1871
80.0,0.1206
85.0,0.0925
90.0,0.0646
95.0,0.0525
100.0,0.0383
105.0,0.0273
110.0,0.0193
115.0,0.016
120.0,0.0124
125.0,0.0115
130.0,0.0088
135.0,0.0078
140.0,0.0064
145.0,0.0053
150.0,0.0049
155.0,0.0038
160.0,0.0044
165.0,0.0034
170.0,0.0036
175.0,0.0034
180.0,0.0029
185.0,0.0036
190.0,0.0035
195.0,0.0034
200.0,0.0037
205.0,0.0042
210.0,0.0037
215.0,0.0032
220.0,0.0037
225.0,0.0037
230.0,0.0034
235.0,0.0039
240.0,0.0034
245.0,0.0032
250.0,0.0028
