depth,PAR_ADJUSTED
0.0,271.2003
5.0,109.553
10.0,38.1257
15.0,20.9496
20.0,8.5177
25.0,4.5042
30.0,2.6562
35.0,1.2414
40.0,0.7017
45.0,0.4231
50.0,0.3102
55.0,0.2075
60.0,0.1655
65.0,0.0912
70.0,0.0896
75.0,0.0861
80.0,0.0676
85.0,0.0586
90.0,0.0513
95.0,0.0347
100.0,0.0275
105.0,0.0313
110.0,0.025
115.0,0.0143
120.0,0.0144
125.0,0.014
130.0,0.0128
135.0,0.0121
140.0,0.0108
145.0,0.0071
150.0,0.0101
155.0,0.0073
160.0,0.0068
165.0,0.0055
170.0,0.0045
175.0,0.0041
180.0,0.0038
185.0,0.0047
190.0,0.0037
195.0,0.0048
200.0,0.0033
205.0,0.0037
210.0,0.004
215.0,0.0036
220.0,0.0038
225.0,0.0037
230.0,0.0036
235.0,0.004
240.0,0.0041
245.0,0.0046
250.0,0.0041
