depth,PAR_ADJUSTED
0.0,128.1578
5.0,53.5838
10.0,20.2332
15.0,9.0687
20.0,4.2232
25.0,2.2182
30.0,0.9458
35.0,0.5712
40.0,0.2671
45.0,0.1466
50.0,0.0902
55.0,0.0526
60.0,0.038
65.0,0.0251
70.0,0.0191
75.0,0.0149
80.0,0.0118
85.0,0.0096
90.0,0.007
95.0,0.0062
100.0,0.0055
105.0,0.0046
110.0,0.0039
115.0,0.0034
120.0,0.0025
125.0,0.0026
130.0,0.0025
135.0,0.0025
140.0,0.002
145.0,0.0019
150.0,0.0018
155.0,0.0015
160.0,0.0016
165.0,0.0016
170.0,0.0015
175.0,0.0014
180.0,0.0012
185.0,0.0017
190.0,0.0017
195.0,0.0017
200.0,0.0019
205.0,0.0021
210.0,0.0022
215.0,0.0018
220.0,0.0024
225.0,0.0027
230.0,0.0023
235.0,0.0029
240.0,0.0028
245.0,0.0029
250.0,0.0029
