depth,PAR_ADJUSTED
0.0,131.9998
5.0,53.1754
10.0,18.5817
15.0,7.8764
20.0,3.5399
25.0,1.7556
30.0,0.6977
35.0,0.3977
40.0,0.1848
45.0,0.09
50.0,0.0538
55.0,0.0315
60.0,0.0218
65.0,0.0145
70.0,0.0109
75.0,0.0086
80.0,0.007
85.0,0.0054
90.0,0.0038
95.0,0.0037
100.0,0.0034
105.0,0.0029
110.0,0.0024
115.0,0.0023
120.0,0.0017
125.0,0.0017
130.0,0.0017
135.0,0.0017
140.0,0.0014
145.0,0.0013
150.0,0.0012
155.0,0.001
160.0,0.0012
165.0,0.0011
170.0,0.001
175.0,0.001
180.0,0.0009
185.0,0.0013
190.0,0.0012
195.0,0.0012
200.0,0.0011
205.0,0.0014
210.0,0.0014
215.0,0.0012
220.0,0.0016
225.0,0.0019
230.0,0.0016
235.0,0.002
240.0,0.0019
245.0,0.002
250.0,0.002
