depth,PAR_ADJUSTED
0.0,406.5625
5.0,184.0952
10.0,86.9116
15.0,45.8153
20.0,26.0826
25.0,14.1786
30.0,7.566
35.0,3.9685
40.0,2.2256
45.0,1.1528
50.0,0.7555
55.0,0.5184
60.0,0.3307
65.0,0.2521
70.0,0.1787
75.0,0.143
80.0,0.1187
85.0,0.0823
90.0,0.0666
95.0,0.0563
100.0,0.0507
105.0,0.0377
110.0,0.0314
115.0,0.0275
120.0,0.0223
125.0,0.0215
130.0,0.0175
135.0,0.0148
140.0,0.0127
145.0,0.01
150.0,0.0109
155.0,0.0078
160.0,0.0079
165.0,0.0065
170.0,0.0055
175.0,0.0049
180.0,0.0043
185.0,0.0045
190.0,0.004
195.0,0.0038
200.0,0.0033
205.0,0.0034
210.0,0.0028
215.0,0.0025
220.0,0.0029
225.0,0.0029
230.0,0.0025
235.0,0.0027
240.0,0.0027
245.0,0.0025
250.0,0.0026
