depth,PAR_ADJUSTED
0.0,242.5926
5.0,98.4788
10.0,42.1298
15.0,19.6973
20.0,9.0891
25.0,4.5726
30.0,2.1087
35.0,1.0748
40.0,0.5214
45.0,0.2471
50.0,0.1307
55.0,0.0763
60.0,0.0451
65.0,0.0271
70.0,0.0164
75.0,0.0109
80.0,0.0074
85.0,0.0055
90.0,0.0039
95.0,0.0034
100.0,0.0027
105.0,0.002
110.0,0.0016
115.0,0.0015
120.0,0.0013
125.0,0.0012
130.0,0.0013
135.0,0.0012
140.0,0.0011
145.0,0.0011
150.0,0.0012
155.0,0.0011
160.0,0.0011
165.0,0.0011
170.0,0.0011
175.0,0.0011
180.0,0.001
185.0,0.001
190.0,0.0012
195.0,0.0011
200.0,0.0012
205.0,0.0012
210.0,0.0011
215.0,0.0011
220.0,0.0011
225.0,0.0012
230.0,0.0013
235.0,0.0014
240.0,0.0015
245.0,0.0015
250.0,0.0014
