depth,PAR_ADJUSTED
0.0,207.5234
5.0,87.7077
10.0,38.5084
15.0,18.6025
20.0,8.7024
25.0,4.5536
30.0,2.1175
35.0,1.1071
40.0,0.5511
45.0,0.2711
50.0,0.1463
55.0,0.085
60.0,0.0513
65.0,0.0303
70.0,0.0187
75.0,0.0126
80.0,0.0083
85.0,0.0061
90.0,0.0041
95.0,0.0038
100.0,0.0029
105.0,0.0022
110.0,0.0017
115.0,0.0016
120.0,0.0013
125.0,0.0012
130.0,0.0013
135.0,0.0013
140.0,0.0011
145.0,0.0011
150.0,0.0012
155.0,0.0011
160.0,0.0011
165.0,0.0011
170.0,0.0011
175.0,0.0011
180.0,0.001
185.0,0.001
190.0,0.0012
195.0,0.0011
200.0,0.0013
205.0,0.0013
210.0,0.0012
215.0,0.0011
220.0,0.0012
225.0,0.0014
230.0,0.0014
235.0,0.0015
240.0,0.0015
245.0,0.0016
250.0,0.0014
