depth,PAR_ADJUSTED
0.0,247.5893
5.0,111.0862
10.0,49.1038
15.0,28.2524
20.0,14.2722
25.0,7.9696
30.0,4.5195
35.0,2.5296
40.0,1.3748
45.0,0.7184
50.0,0.4291
55.0,0.2632
60.0,0.1585
65.0,0.1064
70.0,0.0702
75.0,0.0474
80.0,0.0294
85.0,0.021
90.0,0.0129
95.0,0.0099
100.0,0.0079
105.0,0.0053
110.0,0.0041
115.0,0.0033
120.0,0.0026
125.0,0.0021
130.0,0.0019
135.0,0.0016
140.0,0.0013
145.0,0.0012
150.0,0.0013
155.0,0.0011
160.0,0.001
165.0,0.0011
170.0,0.001
175.0,0.0009
180.0,0.0008
185.0,0.0008
190.0,0.0009
195.0,0.0011
200.0,0.0014
205.0,0.0015
210.0,0.0013
215.0,0.0012
220.0,0.0012
225.0,0.0013
230.0,0.0014
235.0,0.0013
240.0,0.0014
245.0,0.0014
250.0,0.0013
