depth,PAR_ADJUSTED
0.0,927.6173
5.0,448.798
10.0,235.5542
15.0,133.7889
20.0,80.5561
25.0,47.3045
30.0,27.2233
35.0,15.784
40.0,9.8371
45.0,5.7335
50.0,3.5559
55.0,2.0656
60.0,1.322
65.0,0.8225
70.0,0.4987
75.0,0.3178
80.0,0.2144
85.0,0.1417
90.0,0.094
95.0,0.0716
100.0,0.0467
105.0,0.032
110.0,0.0241
115.0,0.0208
120.0,0.015
125.0,0.0126
130.0,0.01
135.0,0.008
140.0,0.0073
145.0,0.0059
150.0,0.0051
155.0,0.0045
160.0,0.0041
165.0,0.0038
170.0,0.0035
175.0,0.0026
180.0,0.0025
185.0,0.0024
190.0,0.0025
195.0,0.0023
200.0,0.0024
205.0,0.0021
210.0,0.0023
215.0,0.0018
220.0,0.0019
225.0,0.0021
230.0,0.002
235.0,0.0019
240.0,0.0021
245.0,0.0019
250.0,0.002
