depth,PAR_ADJUSTED
0.0,416.4036
5.0,199.3941
10.0,106.4492
15.0,65.2381
20.0,33.3547
25.0,22.6608
30.0,13.2223
35.0,8.9238
40.0,5.229
45.0,3.5078
50.0,2.22
55.0,1.4098
60.0,1.0279
65.0,0.5947
70.0,0.3819
75.0,0.245
80.0,0.1685
85.0,0.104
90.0,0.0761
95.0,0.0555
100.0,0.0378
105.0,0.0324
110.0,0.0207
115.0,0.0178
120.0,0.0103
125.0,0.0097
130.0,0.0077
135.0,0.0052
140.0,0.0047
145.0,0.0039
150.0,0.0032
155.0,0.0027
160.0,0.0022
165.0,0.002
170.0,0.0016
175.0,0.0012
180.0,0.0011
185.0,0.0009
190.0,0.001
195.0,0.0011
200.0,0.0011
205.0,0.0011
210.0,0.0012
215.0,0.0009
220.0,0.0009
225.0,0.001
230.0,0.0011
235.0,0.0008
240.0,0.0009
245.0,0.0009
250.0,0.0008
