depth,PAR_ADJUSTED
0.0,198.1806
5.0,108.6601
10.0,67.1915
15.0,47.1699
20.0,30.8963
25.0,22.8232
30.0,16.2851
35.0,11.4273
40.0,9.1486
45.0,7.1693
50.0,4.6541
55.0,3.7831
60.0,2.6479
65.0,1.598
70.0,1.2002
75.0,0.9154
80.0,0.7887
85.0,0.4429
90.0,0.2872
95.0,0.2285
100.0,0.1535
105.0,0.1132
110.0,0.0773
115.0,0.0579
120.0,0.0377
125.0,0.0289
130.0,0.0221
135.0,0.0159
140.0,0.012
145.0,0.0091
150.0,0.0088
155.0,0.0065
160.0,0.0054
165.0,0.0052
170.0,0.0044
175.0,0.0038
180.0,0.0034
185.0,0.0031
190.0,0.0029
195.0,0.0031
200.0,0.0041
205.0,0.0032
210.0,0.0037
215.0,0.0027
220.0,0.0029
225.0,0.003
230.0,0.003
235.0,0.0028
240.0,0.0032
245.0,0.0032
250.0,0.0033
