depth,PAR_ADJUSTED
0.0,344.4919
5.0,186.3147
10.0,113.3158
15.0,78.6424
20.0,52.0007
25.0,37.302
30.0,26.2063
35.0,18.8409
40.0,14.6421
45.0,10.7317
50.0,7.7804
55.0,5.7881
60.0,4.055
65.0,2.8318
70.0,2.0982
75.0,1.5875
80.0,1.3235
85.0,0.8601
90.0,0.6138
95.0,0.4908
100.0,0.376
105.0,0.2806
110.0,0.2229
115.0,0.1774
120.0,0.1232
125.0,0.0931
130.0,0.0824
135.0,0.0604
140.0,0.0534
145.0,0.0366
150.0,0.0359
155.0,0.0283
160.0,0.0232
165.0,0.0219
170.0,0.0199
175.0,0.0155
180.0,0.0138
185.0,0.0118
190.0,0.0105
195.0,0.0105
200.0,0.01
205.0,0.008
210.0,0.0082
215.0,0.0067
220.0,0.0064
225.0,0.0071
230.0,0.0063
235.0,0.006
240.0,0.0062
245.0,0.0061
250.0,0.0063
