depth,PAR_ADJUSTED
0.0,144.6268
5.0,68.2227
10.0,29.9088
15.0,18.9721
20.0,9.7169
25.0,6.0289
30.0,3.253
35.0,2.3434
40.0,1.2079
45.0,0.6869
50.0,0.48
55.0,0.3407
60.0,0.2167
65.0,0.1542
70.0,0.1182
75.0,0.0902
80.0,0.0657
85.0,0.0407
90.0,0.0331
95.0,0.0243
100.0,0.0207
105.0,0.02
110.0,0.0148
115.0,0.0089
120.0,0.0068
125.0,0.0069
130.0,0.0059
135.0,0.0053
140.0,0.0047
145.0,0.0032
150.0,0.003
155.0,0.0021
160.0,0.0028
165.0,0.0021
170.0,0.002
175.0,0.0017
180.0,0.0013
185.0,0.0015
190.0,0.0011
195.0,0.002
200.0,0.002
205.0,0.0018
210.0,0.002
215.0,0.0013
220.0,0.002
225.0,0.0019
230.0,0.0018
235.0,0.0019
240.0,0.0015
245.0,0.002
250.0,0.0011
