depth,PAR_ADJUSTED
0.0,150.8863
5.0,72.207
10.0,31.2561
15.0,19.61
20.0,9.9371
25.0,6.2243
30.0,3.2962
35.0,2.3463
40.0,1.2117
45.0,0.6838
50.0,0.4683
55.0,0.3308
60.0,0.2104
65.0,0.1496
70.0,0.1167
75.0,0.0864
80.0,0.0623
85.0,0.0378
90.0,0.0318
95.0,0.023
100.0,0.0196
105.0,0.0181
110.0,0.0128
115.0,0.0083
120.0,0.0059
125.0,0.0061
130.0,0.0049
135.0,0.0042
140.0,0.0035
145.0,0.0025
150.0,0.0023
155.0,0.0016
160.0,0.002
165.0,0.0016
170.0,0.0015
175.0,0.0012
180.0,0.001
185.0,0.0011
190.0,0.0009
195.0,0.0014
200.0,0.0015
205.0,0.0015
210.0,0.0016
215.0,0.0011
220.0,0.0016
225.0,0.0016
230.0,0.0016
235.0,0.0016
240.0,0.0014
245.0,0.0016
250.0,0.001
