depth,PAR_ADJUSTED
0.0,151.1449
5.0,72.2142
10.0,31.0782
15.0,18.7957
20.0,9.4385
25.0,6.0819
30.0,2.9936
35.0,2.1006
40.0,1.1003
45.0,0.5974
50.0,0.3901
55.0,0.2661
60.0,0.1662
65.0,0.1102
70.0,0.082
75.0,0.0601
80.0,0.0404
85.0,0.0254
90.0,0.0208
95.0,0.0162
100.0,0.0143
105.0,0.0127
110.0,0.0077
115.0,0.0051
120.0,0.0038
125.0,0.0042
130.0,0.0034
135.0,0.0027
140.0,0.0023
145.0,0.0017
150.0,0.0016
155.0,0.0012
160.0,0.0015
165.0,0.0012
170.0,0.0011
175.0,0.001
180.0,0.0007
185.0,0.0008
190.0,0.0007
195.0,0.0012
200.0,0.0013
205.0,0.0013
210.0,0.0014
215.0,0.001
220.0,0.0014
225.0,0.0015
230.0,0.0015
235.0,0.0015
240.0,0.0013
245.0,0.0016
250.0,0.0009
