depth,PAR_ADJUSTED
0.0,129.8622
5.0,66.6627
10.0,35.6401
15.0,25.1135
20.0,14.0055
25.0,10.0427
30.0,6.4192
35.0,4.1791
40.0,2.7251
45.0,1.7591
50.0,1.2141
55.0,0.8856
60.0,0.6172
65.0,0.414
70.0,0.316
75.0,0.2133
80.0,0.1513
85.0,0.0925
90.0,0.0642
95.0,0.0519
100.0,0.0387
105.0,0.0286
110.0,0.0187
115.0,0.0142
120.0,0.009
125.0,0.0083
130.0,0.0057
135.0,0.0039
140.0,0.0028
145.0,0.0021
150.0,0.002
155.0,0.0016
160.0,0.0015
165.0,0.0013
170.0,0.001
175.0,0.0008
180.0,0.0007
185.0,0.0007
190.0,0.0007
195.0,0.0008
200.0,0.0011
205.0,0.001
210.0,0.001
215.0,0.0008
220.0,0.001
225.0,0.001
230.0,0.001
235.0,0.001
240.0,0.001
245.0,0.0012
250.0,0.0009
