depth,PAR_ADJUSTED
0.0,389.1403
5.0,190.784
10.0,101.4388
15.0,63.7485
20.0,38.8481
25.0,26.5314
30.0,16.9256
35.0,11.2275
40.0,6.558
45.0,4.8675
50.0,3.1005
55.0,2.2357
60.0,1.6148
65.0,1.012
70.0,0.7701
75.0,0.5736
80.0,0.4367
85.0,0.2994
90.0,0.2136
95.0,0.1726
100.0,0.119
105.0,0.1012
110.0,0.0752
115.0,0.0664
120.0,0.0422
125.0,0.0382
130.0,0.0307
135.0,0.0234
140.0,0.0257
145.0,0.016
150.0,0.0149
155.0,0.014
160.0,0.013
165.0,0.0107
170.0,0.0094
175.0,0.0079
180.0,0.0077
185.0,0.007
190.0,0.008
195.0,0.009
200.0,0.0112
205.0,0.0093
210.0,0.0101
215.0,0.0087
220.0,0.0101
225.0,0.0092
230.0,0.0102
235.0,0.0079
240.0,0.0081
245.0,0.0081
250.0,0.0057
