depth,PAR_ADJUSTED
0.0,244.6099
5.0,87.5274
10.0,31.4716
15.0,12.8186
20.0,5.0202
25.0,2.1332
30.0,0.8836
35.0,0.3778
40.0,0.1558
45.0,0.0636
50.0,0.0339
55.0,0.0196
60.0,0.0104
65.0,0.0062
70.0,0.0045
75.0,0.0029
80.0,0.0021
85.0,0.0017
90.0,0.0013
95.0,0.0012
100.0,0.0011
105.0,0.0008
110.0,0.0007
115.0,0.0007
120.0,0.0007
125.0,0.0006
130.0,0.0007
135.0,0.0008
140.0,0.0008
145.0,0.0007
150.0,0.0007
155.0,0.0007
160.0,0.0008
165.0,0.0008
170.0,0.0007
175.0,0.0007
180.0,0.0007
185.0,0.0007
190.0,0.0009
195.0,0.0008
200.0,0.0007
205.0,0.0008
210.0,0.0007
215.0,0.0008
220.0,0.0008
225.0,0.0009
230.0,0.0011
235.0,0.0012
240.0,0.0012
245.0,0.0014
250.0,0.0014
