depth,PAR_ADJUSTED
0.0,219.9043
5.0,75.2229
10.0,25.374
15.0,9.9958
20.0,3.6538
25.0,1.5042
30.0,0.5893
35.0,0.2478
40.0,0.0988
45.0,0.0379
50.0,0.0204
55.0,0.0118
60.0,0.0061
65.0,0.0036
70.0,0.0027
75.0,0.0017
80.0,0.0013
85.0,0.0011
90.0,0.0009
95.0,0.0008
100.0,0.0008
105.0,0.0006
110.0,0.0006
115.0,0.0006
120.0,0.0006
125.0,0.0006
130.0,0.0006
135.0,0.0007
140.0,0.0007
145.0,0.0007
150.0,0.0007
155.0,0.0007
160.0,0.0008
165.0,0.0007
170.0,0.0007
175.0,0.0007
180.0,0.0007
185.0,0.0007
190.0,0.0008
195.0,0.0008
200.0,0.0006
205.0,0.0007
210.0,0.0006
215.0,0.0007
220.0,0.0007
225.0,0.0008
230.0,0.0009
235.0,0.0011
240.0,0.001
245.0,0.0012
250.0,0.0011
