depth,PAR_ADJUSTED
0.0,786.5357
5.0,413.7322
10.0,246.7544
15.0,151.0567
20.0,101.7607
25.0,66.5718
30.0,42.6573
35.0,28.1585
40.0,18.2879
45.0,11.9536
50.0,8.1442
55.0,5.4649
60.0,3.7087
65.0,2.4856
70.0,1.8568
75.0,1.345
80.0,0.9853
85.0,0.6941
90.0,0.5351
95.0,0.4014
100.0,0.2925
105.0,0.2368
110.0,0.1866
115.0,0.1609
120.0,0.1185
125.0,0.1005
130.0,0.0808
135.0,0.0689
140.0,0.057
145.0,0.0483
150.0,0.0443
155.0,0.0359
160.0,0.032
165.0,0.0271
170.0,0.0228
175.0,0.02
180.0,0.0184
185.0,0.0161
190.0,0.0143
195.0,0.0132
200.0,0.0119
205.0,0.0098
210.0,0.0092
215.0,0.0079
220.0,0.0077
225.0,0.0072
230.0,0.0067
235.0,0.0061
240.0,0.007
245.0,0.006
250.0,0.0056
