depth,PAR_ADJUSTED
0.0,136.2013
5.0,77.6409
10.0,43.1736
15.0,27.3111
20.0,14.3491
25.0,11.4777
30.0,6.237
35.0,5.3582
40.0,3.2566
45.0,1.9633
50.0,1.3807
55.0,0.8276
60.0,0.6119
65.0,0.3578
70.0,0.2955
75.0,0.1824
80.0,0.1218
85.0,0.0815
90.0,0.0552
95.0,0.0488
100.0,0.0333
105.0,0.0254
110.0,0.0182
115.0,0.0125
120.0,0.0099
125.0,0.01
130.0,0.0081
135.0,0.0063
140.0,0.0052
145.0,0.0041
150.0,0.0039
155.0,0.0031
160.0,0.003
165.0,0.003
170.0,0.0028
175.0,0.0022
180.0,0.0017
185.0,0.0021
190.0,0.0021
195.0,0.0022
200.0,0.0026
205.0,0.0026
210.0,0.0026
215.0,0.0019
220.0,0.0023
225.0,0.0023
230.0,0.002
235.0,0.0019
240.0,0.0018
245.0,0.0016
250.0,0.0012
