depth,PAR_ADJUSTED
0.0,314.2586
5.0,163.504
10.0,85.9947
15.0,52.669
20.0,31.9504
25.0,22.4231
30.0,13.4719
35.0,9.8853
40.0,5.8333
45.0,4.5255
50.0,2.6667
55.0,2.033
60.0,1.519
65.0,0.9649
70.0,0.6724
75.0,0.4824
80.0,0.3417
85.0,0.2175
90.0,0.1708
95.0,0.1355
100.0,0.0862
105.0,0.0695
110.0,0.0491
115.0,0.04
120.0,0.0257
125.0,0.0256
130.0,0.019
135.0,0.0138
140.0,0.0155
145.0,0.0106
150.0,0.0085
155.0,0.009
160.0,0.0088
165.0,0.0081
170.0,0.0071
175.0,0.0066
180.0,0.0054
185.0,0.0062
190.0,0.0071
195.0,0.0099
200.0,0.0154
205.0,0.013
210.0,0.0121
215.0,0.0118
220.0,0.015
225.0,0.0146
230.0,0.0172
235.0,0.0129
240.0,0.013
245.0,0.0132
250.0,0.0071
