depth,PAR_ADJUSTED
0.0,864.4388
5.0,416.6271
10.0,228.5307
15.0,131.0295
20.0,85.1484
25.0,51.0372
30.0,31.3723
35.0,17.7854
40.0,11.4676
45.0,7.1324
50.0,4.3752
55.0,2.6863
60.0,1.8006
65.0,1.1033
70.0,0.7489
75.0,0.5364
80.0,0.3697
85.0,0.274
90.0,0.1597
95.0,0.1342
100.0,0.0987
105.0,0.072
110.0,0.0605
115.0,0.0491
120.0,0.0406
125.0,0.0325
130.0,0.0285
135.0,0.0247
140.0,0.0211
145.0,0.0178
150.0,0.0176
155.0,0.0152
160.0,0.0164
165.0,0.0131
170.0,0.0126
175.0,0.0114
180.0,0.0103
185.0,0.0107
190.0,0.0105
195.0,0.0111
200.0,0.011
205.0,0.0095
210.0,0.0126
215.0,0.0091
220.0,0.0107
225.0,0.0097
230.0,0.0083
235.0,0.0079
240.0,0.0078
245.0,0.0073
250.0,0.0068
