depth,PAR_ADJUSTED
0.0,147.2495
5.0,69.93
10.0,28.2461
15.0,17.0599
20.0,8.4537
25.0,5.0358
30.0,2.6249
35.0,1.7244
40.0,0.8474
45.0,0.4691
50.0,0.3081
55.0,0.2124
60.0,0.1258
65.0,0.0768
70.0,0.0666
75.0,0.0513
80.0,0.0372
85.0,0.0267
90.0,0.0211
95.0,0.0162
100.0,0.0141
105.0,0.0139
110.0,0.0091
115.0,0.0055
120.0,0.0042
125.0,0.0051
130.0,0.0043
135.0,0.0036
140.0,0.0031
145.0,0.0022
150.0,0.0021
155.0,0.0016
160.0,0.0019
165.0,0.0015
170.0,0.0014
175.0,0.0013
180.0,0.0011
185.0,0.0012
190.0,0.001
195.0,0.0017
200.0,0.0018
205.0,0.0017
210.0,0.0018
215.0,0.0014
220.0,0.0021
225.0,0.0023
230.0,0.0022
235.0,0.0022
240.0,0.0019
245.0,0.0022
250.0,0.0013
