depth,PAR_ADJUSTED
0.0,137.4619
5.0,71.0827
10.0,29.9867
15.0,18.8471
20.0,9.5049
25.0,6.3633
30.0,3.4658
35.0,2.4422
40.0,1.3066
45.0,0.706
50.0,0.4546
55.0,0.3197
60.0,0.2027
65.0,0.102
70.0,0.0986
75.0,0.0659
80.0,0.0459
85.0,0.0337
90.0,0.026
95.0,0.0205
100.0,0.0164
105.0,0.0158
110.0,0.0101
115.0,0.0062
120.0,0.0046
125.0,0.0065
130.0,0.005
135.0,0.0041
140.0,0.0039
145.0,0.0029
150.0,0.0027
155.0,0.0023
160.0,0.0026
165.0,0.0021
170.0,0.0021
175.0,0.0018
180.0,0.0014
185.0,0.0017
190.0,0.0013
195.0,0.0027
200.0,0.0027
205.0,0.0025
210.0,0.0023
215.0,0.0017
220.0,0.0026
225.0,0.0024
230.0,0.0025
235.0,0.0022
240.0,0.0018
245.0,0.002
250.0,0.001
